id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,recoveries,collection_recovery_fee,policy_code,tot_cur_bal,total_rev_hi_lim
19,14400,14400,14400, 60 months,16.78,356.18,C,C5,Moran Environmental,< 1 year,RENT,45000,n,major_purchase,Wedding,SC,23.71,0,Apr-1999,1,16,0,7820,46.3,41,f,9139.46,9139.46,0,0,1,37564,16900
20,1000,1000,1000, 36 months,18.25,36.28,D,D3,Oakley,3 years,RENT,41000,n,wedding,Wedding Fund ,MO,22.01,0,Sep-2004,0,5,0,4005,93.1,6,f,0,0,0,0,1,,
21,4800,4800,4800, 36 months,12.99,161.71,C,C2,dealer,< 1 year,RENT,25000,n,credit_card,Credit card refinancing,NY,5.95,0,Feb-2005,0,10,0,2209,17.7,12,w,0,0,0,0,1,18300,12500
22,14000,14000,14000, 60 months,21.67,384.05,F,F3,Quality King,7 years,RENT,42000,n,small_business,Small Business Loan,NY,11.57,0,Dec-2000,1,8,0,7168,84.3,11,f,0,0,703.71,6.93,1,,
23,20000,20000,20000, 60 months,14.16,467.03,C,C2,Founder/CEO,10+ years,MORTGAGE,120000,n,credit_card,Credit card refinancing,MN,9.82,0,Aug-1974,0,9,1,27805,50,21,w,15957.66,15957.66,0,0,1,226562,55500
24,20000,20000,20000, 36 months,14.09,684.43,B,B5,CALIFORNIA INSTITUTION FOR THE ARTS,10+ years,MORTGAGE,86000,n,debt_consolidation, DEBT CONSOLIDATION,CA,17.65,0,Nov-1985,3,15,0,23328,56.2,29,f,0,0,0,0,1,55840,41500
25,15000,15000,14975, 60 months,16.45,368.37,E,E1,Wendys OFH of New York Inc,10+ years,RENT,45000,n,wedding,weddingloot,MA,2.56,1,Apr-2000,0,5,0,2306,37.2,10,f,0,0,517.24,5.42,1,,
26,17000,17000,17000, 36 months,8.9,539.81,A,A5,superviser,8 years,MORTGAGE,50000,n,credit_card,Credit card refinancing,TX,20.14,2,Aug-1993,1,8,0,8894,54.9,29,w,0,0,0,0,1,104996,16200
27,11200,11200,11200, 36 months,13.33,379.16,C,C3,Store Manager,7 years,MORTGAGE,60000,n,debt_consolidation,Debt consolidation,LA,25.36,3,Mar-2006,0,13,0,14356,68.7,22,f,10945.25,10945.25,0,0,1,180683,20900
28,25000,25000,25000, 36 months,20.31,933.05,D,D5,Pacesetter Claims Service,5 years,MORTGAGE,160000,n,debt_consolidation,Consolidation!,MO,11.44,0,Dec-2009,0,9,0,22580,84.3,10,w,9319.37,9319.37,0,0,1,56992,26800
29,13875,13875,13875, 36 months,13.98,474.08,C,C3,Enrollment specialist,6 years,OWN,44000,n,debt_consolidation,Debt consolidation,FL,21.06,0,Jan-2006,0,9,0,16323,98.9,24,w,7273.22,7273.22,0,0,1,68676,16500
30,5000,5000,5000, 36 months,16.59,177.25,D,D1,"Industrial Engineer, Manager",6 years,RENT,116887,n,debt_consolidation,Debt consolidation,MD,12.73,0,Oct-1999,2,14,0,14262,92.6,26,f,2812,2812,0,0,1,28122,15400
31,35000,35000,35000, 36 months,15.59,1223.43,D,D1,Integration Developer II,< 1 year,OWN,124800,n,credit_card,Credit card refinancing,HI,17.92,0,Nov-1999,1,14,0,52110,88.8,31,w,27710.86,27710.86,0,0,1,85751,58700
32,12175,12175,12175, 36 months,7.9,380.96,A,A4,Qualcomm,4 years,RENT,97000,n,debt_consolidation,Debt consolidation,CA,14.33,0,Dec-1998,0,12,0,11622,82.4,23,f,0,0,0,0,1,33316,14100
33,10000,10000,10000, 60 months,17.1,249.07,C,C5,Levi Strauss & Co,8 years,RENT,62000,n,debt_consolidation,CC Loan,MD,5.55,0,Aug-1989,1,5,2,8724,25.1,18,f,0,0,0,0,1,8724,34700
34,5000,5000,5000, 36 months,10.37,162.21,B,B3,,1 year,MORTGAGE,92000,n,small_business,Journey,KY,22.41,0,Jun-2000,1,7,0,513,6.5,22,f,0,0,0,0,1,,
35,15000,15000,15000, 60 months,14.49,352.85,C,C4,AVP of Product Training & Resources,6 years,MORTGAGE,67500,n,debt_consolidation,Debt consolidation,FL,13.62,0,May-2005,1,13,0,10017,54.4,24,w,0,0,0,0,1,124106,18400
36,11400,11400,11350, 60 months,18.79,294.41,E,E3,,10+ years,RENT,39800,n,small_business,Small Business Loan,OH,17.91,0,Feb-1981,3,12,1,16507,79.4,14,f,0,0,15.45,0,1,,
37,25000,25000,25000, 60 months,11.53,550.2,B,B5,Customer Service,10+ years,MORTGAGE,65000,n,debt_consolidation,Debt consolidation,WI,12.2,0,Jun-1983,2,14,0,25965,23.1,22,f,23742.05,23742.05,0,0,1,151639,112400
38,10000,10000,10000, 60 months,17.57,251.61,D,D4,Assistant to the CEO for Special Project,< 1 year,RENT,55000,n,debt_consolidation,Debt consolidation,NY,10.8,1,Sep-2003,0,7,0,6962,49,13,w,9460.49,9460.49,0,0,1,165336,14200
39,12000,12000,11989.76376, 36 months,8.94,381.26,A,A5,Washington State University,5 years,OWN,72645.36,n,home_improvement,Home Improvement,WA,15.1,0,May-1999,3,14,0,7937,19.2,47,f,0,0,0,0,1,,
40,9175,9175,9128.279542, 60 months,10.59,197.62,B,B2,The Grind Cafe,2 years,RENT,18000,n,small_business,Small Business loan,IL,26.25,0,Jan-2000,1,7,0,385,12.8,14,f,0,0,1140.06,205.2108,1,,
41,18625,18625,18625, 36 months,7.26,577.31,A,A4,Document Transaction Specilat,10+ years,MORTGAGE,56784,n,credit_card,Credit card refinancing,CA,27.68,0,May-1981,0,8,0,14972,73.8,39,w,15794.73,15794.73,0,0,1,188263,20300
42,8000,8000,8000, 36 months,15.31,278.54,C,C2,JVB Financial,3 years,RENT,175000,n,car,Auto,FL,4.29,0,Mar-2003,0,5,0,6330,93.1,14,f,0,0,371.35,3.7135,1,27697,6800
43,1000,1000,1000, 36 months,21.49,37.93,E,E3,California youth soccer association,1 year,RENT,39000,n,wedding,Wedding,CA,20.68,0,Oct-2000,0,8,0,27809,86.1,14,w,0,0,0,0,1,27809,32300
44,12000,12000,12000, 36 months,13.53,407.4,B,B5,Respiratory Therapist,3 years,RENT,50000,n,debt_consolidation,Debt consolidation,PA,22.16,0,Nov-1999,0,11,0,12592,41.8,38,f,0,0,0,0,1,37194,30100
45,16800,16800,16800, 60 months,14.31,393.62,C,C4,surgical technician,5 years,MORTGAGE,41330,n,debt_consolidation,Debt consolidation,KS,25.78,0,Jan-2000,1,12,1,6150,37,19,w,14099.48,14099.48,0,0,1,30418,16600
46,10750,10750,10750, 60 months,24.08,309.76,F,F2,Lead technician,4 years,RENT,36000,n,debt_consolidation,Debt consolidation,CA,31.3,0,Nov-2006,0,14,0,15957,79.8,23,w,8996.19,8996.19,0,0,1,33685,20000
47,25600,25600,25600, 60 months,19.22,667.19,D,D5,BSA LifeStructures,5 years,RENT,68000,n,debt_consolidation,credit card and car loan,IL,24.04,1,Oct-2004,1,13,0,15538,69.4,20,f,0,0,0,0,1,,
48,15000,15000,15000, 60 months,14.99,356.78,C,C5,Supervisor,10+ years,MORTGAGE,115000,n,debt_consolidation,Debt consolidation,TX,31.27,0,Dec-1993,1,11,0,50345,96.2,35,w,0,0,0,0,1,300909,98800
49,18000,18000,18000, 36 months,17.77,648.67,D,D1,w.w.grainger,10+ years,MORTGAGE,45000,n,credit_card,Credit card refinancing,MO,19.36,1,Aug-1992,1,11,0,21359,73.9,21,f,0,0,0,0,1,152861,28900
50,16000,16000,16000, 36 months,12.29,533.65,C,C1,Internet Sales Manager,2 years,RENT,50000,n,debt_consolidation,Debt consolidation,WA,22.44,1,Sep-2008,0,9,0,11606,66.7,12,f,0,0,0,0,1,32968,17400
51,5500,5500,5500, 36 months,6.03,167.4,A,A1,Nuclear Medicine Technologist,10+ years,MORTGAGE,85000,n,home_improvement,Home Improvement,TX,10.72,0,Dec-1983,0,11,0,11886,20.1,32,f,0,0,0,0,1,255725,59000
52,21000,21000,21000, 36 months,13.98,717.53,C,C3,Level II Technician,1 year,MORTGAGE,85000,n,debt_consolidation,Debt consolidation,LA,23.72,0,Nov-1990,0,12,0,7747,65,24,f,12166.34,12166.34,0,0,1,205747,11900
53,16000,16000,16000, 36 months,14.31,549.26,C,C4,Lead Special Education Teacher/ Sped Coo,6 years,MORTGAGE,40000,n,debt_consolidation,Debt consolidation,MN,21.6,0,Mar-2002,0,27,0,13167,51.2,50,w,12231.96,12231.96,0,0,1,85219,25700
54,24325,24325,24325, 36 months,16.99,867.14,D,D3,CPA,< 1 year,OWN,80000,n,debt_consolidation,Debt consolidation,WI,22.95,1,Aug-2009,3,14,0,4426,22.7,22,f,20289.19,20289.19,0,0,1,108100,19500
55,8000,8000,8000, 36 months,11.67,264.46,B,B4,Staff Accountant,3 years,MORTGAGE,40000,n,other,Other,NC,7.56,0,Sep-2001,0,13,0,9857,36.5,24,w,5636.3,5636.3,0,0,1,112132,27000
56,6125,6125,6100, 36 months,12.12,203.79,B,B3,Walmart,10+ years,MORTGAGE,34000,n,credit_card,Consolidation,UT,10.76,1,Apr-2002,2,8,0,4198,35.3,16,f,0,0,0,0,1,101333,11900
57,35000,35000,35000, 36 months,18.24,1269.56,D,D5,Policy Analyst,4 years,MORTGAGE,100000,n,debt_consolidation,Debt consolidation,VA,4.12,2,Sep-1989,1,7,0,2735,82.9,34,w,21262.3,21262.3,0,0,1,314094,3300
58,24000,24000,24000, 36 months,9.99,774.3,B,B3,Engineering Supervisor,7 years,MORTGAGE,130000,n,major_purchase,Major purchase,AL,13.08,1,Oct-1999,0,12,1,13669,39.3,19,w,22262.11,22262.11,0,0,1,292008,34800
59,10000,10000,10000, 36 months,14.65,344.95,C,C5,locomotive engineer ,10+ years,MORTGAGE,138000,n,other,Other,MT,17.07,0,Mar-2000,2,13,0,16233,75.9,28,f,9092.08,9092.08,0,0,1,232760,21400
60,25000,25000,25000, 60 months,15.61,602.79,D,D1,system analyst,10+ years,MORTGAGE,76000,n,debt_consolidation,Debt consolidation,FL,17.52,1,Mar-1998,0,25,0,7991,17.8,41,w,22979.44,22979.44,0,0,1,126444,44800
61,12000,12000,12000, 60 months,12.29,268.7,C,C1,Driver,3 years,RENT,42000,n,credit_card,Credit card refinancing,NV,7.84,0,Nov-2004,0,3,0,9237,61.2,6,w,10947.5,10947.5,0,0,1,9237,15100
62,10375,10375,10375, 36 months,12.12,345.2,B,B3,Mine Branch Interior Finishes,10+ years,MORTGAGE,57200,n,debt_consolidation,Debt consolidation,MD,13.74,2,Feb-2000,0,8,0,3440,40.5,26,f,0,0,0,0,1,,
63,3500,3500,3500, 36 months,9.99,112.92,B,B3,,n/a,RENT,18684,n,debt_consolidation,Debt consolidation,SC,32.16,0,Jan-2001,0,10,0,3371,34.8,24,w,2720.35,2720.35,0,0,1,10894,9700
64,23200,23200,23200, 36 months,13.99,792.81,C,C4,Assistant Store Manager,10+ years,OWN,58000,n,credit_card,Credit card refinancing,NY,29.71,0,Aug-1990,0,14,0,32439,92.7,27,w,21614.65,21614.65,0,0,1,38842,35000
65,35000,35000,34975, 60 months,24.99,1027.1,F,F4,warehouseman,10+ years,RENT,167000,n,small_business,Business,OR,9.21,0,Jun-2001,1,10,1,2296,20.1,62,w,26328.65,26309.84,0,0,1,52644,11400
66,6200,6200,6200, 36 months,10.99,202.96,B,B3,,n/a,RENT,25000,n,debt_consolidation,Debt consolidation,CA,23.24,0,Mar-1997,1,11,0,5690,37.4,17,w,4555.3,4555.3,0,0,1,16637,15200
67,8000,8000,8000, 36 months,7.9,250.33,A,A4,Niles Park District,1 year,RENT,35000,n,debt_consolidation,Better rate loan,IL,16.25,0,Jun-2004,0,4,0,16758,76.2,10,f,0,0,0,0,1,,
68,20000,20000,19875, 36 months,9.67,642.25,B,B1,Mobile Equip.Op,10+ years,RENT,90000,n,debt_consolidation,Debt consolidation,IN,13.36,0,Mar-2005,1,8,0,18263,73.1,19,f,11272.5,11202.05,0,0,1,35083,25000
69,15375,15375,15375, 60 months,22.99,433.35,F,F1,Customer Service Representative,10+ years,RENT,48000,n,other,Other,CA,30.56,0,Nov-1996,1,10,0,9335,67.6,17,f,14187.3,14187.3,0,0,1,64012,13800
70,20000,20000,20000, 60 months,16.55,492.23,D,D2,Superintendent,8 years,MORTGAGE,120000,n,home_improvement,Home improvement,MI,15.65,0,Sep-2004,0,16,0,14612,78.1,28,w,19341.82,19341.82,0,0,1,259248,18700
71,12825,12825,12825, 60 months,25.57,380.73,F,F5,Medical Assistant,1 year,RENT,38000,n,debt_consolidation,Debt consolidation,AZ,27.7,0,Jun-2007,2,6,0,4664,50.7,15,f,0,0,0,0,1,26713,9200
72,10000,10000,10000, 36 months,10.99,327.34,B,B3,OWNER,9 years,RENT,35000,n,credit_card,Credit card refinancing,PA,22.67,0,Jul-1992,0,6,0,9139,71,23,f,6495.54,6495.54,0,0,1,14742,12900
73,20400,20400,20400, 60 months,14.65,481.58,C,C5,EXTRUSION,1 year,RENT,54000,n,debt_consolidation,Debt consolidation,OH,28.31,0,Aug-2003,0,12,0,14143,35.2,25,w,19208.61,19208.61,0,0,1,118123,40200
74,35000,35000,35000, 60 months,13.33,802.29,C,C3,Attorney,10+ years,MORTGAGE,170000,n,debt_consolidation,Debt consolidation,MN,32.59,0,Sep-1994,1,19,0,99126,68,32,w,33745.68,33745.68,0,0,1,356456,145015
75,18825,18825,18800, 36 months,13.11,635.29,B,B4,lorretto rest,10+ years,MORTGAGE,53000,n,debt_consolidation,relief,NY,29.37,0,Sep-1994,0,16,0,18490,62,30,f,0,0,15.26,2.746800006,1,116836,29800
76,5000,5000,4975, 36 months,17.27,178.94,C,C5,HCC,10+ years,RENT,41443,n,other,2013 loan,IL,22.72,0,Jan-1995,0,21,0,25184,27.1,34,f,0,0,0,0,1,25184,93100
77,14000,14000,14000, 36 months,14.09,479.1,B,B5,MCM marine,5 years,RENT,65000,n,house,New Beginning,MI,15.19,0,Apr-2008,0,6,0,4211,56.1,7,f,0,0,0,0,1,45022,7500
78,12000,12000,12000, 60 months,10.59,258.47,B,B2,P.I.E. Facilities of NY Inc. ,10+ years,RENT,25000,n,credit_card,Road to Freedom Part 2,NY,13.63,0,Jan-2001,0,10,0,8098,57.4,37,f,2247.43,2247.43,0,0,1,,
79,18125,18125,18125, 36 months,15.81,635.53,C,C4,Oliff & Berridge,< 1 year,MORTGAGE,90000,n,debt_consolidation,DebtConsolidate2,VA,24.43,0,Jun-2001,3,10,0,19473,51.9,17,f,0,0,972.58,9.5,1,,
80,28000,28000,28000, 36 months,16.99,998.14,D,D3,Research Nurse,1 year,OWN,72000,n,debt_consolidation,Debt consolidation,OH,28.92,0,Dec-2000,0,7,0,45094,97.6,32,f,26169.2,26169.2,0,0,1,59371,46200
81,20000,20000,20000, 36 months,12.29,667.06,C,C1,Owner,6 years,MORTGAGE,180000,n,other,Other,VA,5.12,0,Mar-2003,1,14,0,17674,25.5,27,w,18599.07,18599.07,0,0,1,31466,69400
82,10650,10650,10650, 36 months,16.99,379.65,D,D3,Major account manager ,7 years,MORTGAGE,130000,n,home_improvement,Home improvement,FL,6.87,0,Feb-1999,3,9,1,4562,59.2,19,w,0,0,0,0,1,15078,7700
83,10000,10000,10000, 60 months,19.52,262.28,E,E3,,n/a,RENT,30792.29,n,debt_consolidation,Debt consolidation,TX,37.3,0,Jul-1993,1,13,1,3628,36.3,45,w,8810.64,8810.64,0,0,1,21167,10000
84,30000,30000,29950, 60 months,18.24,765.73,D,D5,Supervisor ,10+ years,MORTGAGE,106000,n,debt_consolidation,Debt consolidation,MD,24.63,0,Mar-2004,0,20,0,37094,66.5,29,w,24437.24,24396.52,0,0,1,511341,55800
85,9000,9000,9000, 36 months,14.33,309.05,C,C1,Atlanticare,10+ years,NONE,71000,n,credit_card,Rescue,NJ,16.82,0,Mar-1991,0,10,0,39598,91.6,23,f,0,0,439.94,79.1892,1,304425,49100
86,5000,5000,5000, 36 months,6.92,154.21,A,A3,Central Casting,4 years,RENT,35004,n,other,Personal Loan,CA,21.08,0,Oct-2000,0,20,0,12173,55.8,45,f,0,0,62.71,0.6271,1,,
87,7000,7000,7000, 36 months,13.33,236.98,C,C3,Interpreter,2 years,RENT,62000,n,moving,Moving and relocation,CA,27.68,1,Apr-2001,0,14,0,23356,58.4,23,f,0,0,1223.2,220.176,1,37182,40000
88,1800,1800,1800, 36 months,8.39,56.73,A,A5,Development Supervisor,3 years,MORTGAGE,98000,n,medical,Medical expenses,AZ,15.74,0,Sep-1993,0,12,0,8958,23.3,37,f,0,0,0,0,1,232635,38400
89,7500,7500,7500, 36 months,15.61,262.24,C,C4,Quality Manager,3 years,RENT,75000,n,debt_consolidation,Debt consolidation,CA,18.3,3,Aug-1998,1,12,0,5817,66.1,17,w,0,0,0,0,1,22419,8800
90,27000,27000,27000, 60 months,9.99,573.54,B,B3,Sales Territory Manager,10+ years,MORTGAGE,95000,n,debt_consolidation,Debt consolidation,FL,21.25,0,Jul-2003,0,12,0,30376,47.6,25,w,0,0,0,0,1,262506,63800
91,12000,12000,12000, 60 months,10.15,255.86,B,B2,Accounting Operations Leader,6 years,MORTGAGE,112000,n,debt_consolidation,Debt consolidation,FL,25.69,0,May-1986,0,12,0,8208,13.6,30,w,0,0,0,0,1,415141,60300
92,10000,10000,9950, 36 months,12.12,332.72,B,B3,Wasatch Electric,2 years,MORTGAGE,65000,n,debt_consolidation,PayOff,CO,16.93,0,Jul-2003,2,9,0,12302,53.5,33,f,0,0,0,0,1,274715,23000
93,10000,10000,10000, 36 months,13.53,339.5,B,B5,ENGINEER,3 years,MORTGAGE,76000,n,debt_consolidation,Debt consolidation,MI,13.86,0,Nov-1996,1,9,0,6798,82.9,31,f,0,0,0,0,1,158832,8200
94,15000,15000,15000, 60 months,14.65,354.1,C,C5,,n/a,MORTGAGE,92000,n,debt_consolidation,Debt consolidation,FL,5.36,0,Oct-2010,0,15,0,14301,28.7,15,w,14124,14124,0,0,1,14301,49900
95,8000,8000,8000, 36 months,12.69,268.36,C,C2,Driver,3 years,MORTGAGE,35000,n,debt_consolidation,Debt consolidation,AR,24.9,0,Sep-2005,0,8,0,5542,36,25,w,6867.88,6867.88,0,0,1,27892,15400
96,35000,35000,35000, 36 months,18.49,1273.96,D,D2,"Department of Interior, Bureau of Reclam",7 years,MORTGAGE,96000,n,credit_card,Build my future,WA,13.9,0,Sep-1991,1,14,0,20518,63.1,21,f,0,0,0,0,1,111485,32500
97,8000,8000,8000, 36 months,13.11,269.98,B,B4,papa johns,10+ years,MORTGAGE,24000,n,credit_card,ccpay,AR,15.05,0,Oct-2006,2,11,0,9473,58.5,18,f,1812.78,1812.78,0,0,1,64236,16200
98,28000,28000,28000, 60 months,16.29,685.23,C,C4,City of Reno ,8 years,MORTGAGE,81000,n,debt_consolidation,Debt Consolidation,NV,22.08,0,Nov-1997,0,10,0,33622,87.1,16,f,17244.68,17244.68,0,0,1,303380,38600
99,6000,6000,6000, 36 months,11.67,198.35,B,B4,X-ray tech,10+ years,OWN,55000,n,debt_consolidation,Debt consolidation,TX,7.79,0,Nov-1982,0,15,0,12626,20.4,18,f,0,0,0,0,1,12626,61900
100,18250,18250,18200, 60 months,15.31,437.15,C,C2,,10+ years,RENT,120000,n,debt_consolidation,loan,CA,8.93,0,Mar-1984,0,10,0,4222,43.1,11,w,0,0,2188.53,21.8853,1,415040,9800
101,18000,18000,17925, 36 months,8.9,571.56,A,A5,CATERPILLAR,10+ years,MORTGAGE,80000,n,debt_consolidation,Debt consolidation,IL,21.15,0,Feb-2000,0,10,0,82635,72.4,38,f,0,0,0,0,1,211635,90900
102,8000,8000,8000, 36 months,18.49,291.19,D,D2,fondulac community center,5 years,MORTGAGE,47422,n,renewable_energy,get things done,MN,15.59,0,Jun-1997,2,9,0,5957,79.4,41,f,0,0,0,0,1,60831,7500
103,20175,20175,20175, 36 months,16.55,714.79,D,D2,Gas department manager,10+ years,MORTGAGE,45000,n,debt_consolidation,Debt consolidation,AL,22.05,0,Nov-1995,3,8,0,2882,23,14,f,17931.24,17931.24,0,0,1,169157,12550
104,9600,9600,9600, 36 months,14.99,332.75,C,C5,,n/a,MORTGAGE,22934,n,debt_consolidation,Debt consolidation,NC,12.87,0,Mar-1988,0,3,0,12507,83.9,10,w,0,0,0,0,1,12507,14900
105,6000,6000,6000, 36 months,11.99,199.26,B,B3,Staff Accountant,5 years,RENT,65000,n,debt_consolidation,Consolidate,CA,32.68,0,Jun-2005,0,10,2,13630,68.1,51,f,0,0,1442.06,252.5598,1,162847,20000
106,17975,17975,17975, 60 months,25.57,533.62,F,F5,Signature Client Executive,7 years,MORTGAGE,93000,n,debt_consolidation,Debt consolidation,NC,28.77,0,Sep-2003,2,32,1,10040,27.7,43,w,16130.09,16130.09,0,0,1,238417,36300
107,15000,15000,15000, 60 months,13.99,348.95,C,C4,Case manager ,2 years,RENT,40000,n,debt_consolidation,Debt consolidation,PA,21.42,0,May-2006,0,8,0,11477,97.3,25,f,14471.67,14471.67,0,0,1,68782,11800
108,29850,29850,29850, 36 months,14.49,1027.33,C,C4,teacher,8 years,RENT,65000,n,credit_card,Credit card refinancing,NY,21.71,0,Aug-1997,0,17,0,23423,65.1,32,w,0,0,3952.72,39.5272,1,71506,36000
109,15250,15250,15250, 36 months,13.11,514.65,B,B4,Duluth transit authority,5 years,MORTGAGE,55000,n,credit_card,Credit card payoff loan,MN,15.86,0,Dec-1999,0,8,0,17098,70.9,22,w,0,0,0,0,1,281777,24100
110,23100,23100,23100, 60 months,15.61,556.98,D,D1,Precious Metals Assayer,4 years,OWN,59100,n,debt_consolidation,Debt consolidation,OR,19.41,0,Jan-1969,0,7,0,35466,58.1,14,w,0,0,3030.73,30.3073,1,42543,61000
111,30000,30000,29950, 60 months,17.57,754.81,D,D2,Manager,2 years,RENT,72000,n,debt_consolidation,Debt consolidation,IN,19.03,0,Jan-1993,0,11,0,31954,82.1,23,f,21003.4,20968.39,0,0,1,31954,38900
112,20000,20000,17197.57935, 36 months,13.79,681.51,C,C5,Whole Foods Market,< 1 year,RENT,103000,n,debt_consolidation,Debt Free,WA,19.76,0,Jun-1990,0,8,0,22512,65.2,43,f,0,0,0,0,1,,
113,6000,6000,6000, 36 months,8.9,190.52,A,A5,Nicolet National Bank,3 years,RENT,30499,n,credit_card,Simple Credit Card Refinance,WI,18.88,0,Dec-2001,0,9,0,11876,51.4,10,f,0,0,0,0,1,,
114,11000,11000,10975, 36 months,7.62,342.78,A,A3,St John's Riverside Hospital,1 year,MORTGAGE,110000,n,credit_card,Credit Card Consolidation,NY,15.13,0,Sep-2004,0,16,0,9625,22.4,28,f,2671.85,2665.76,0,0,1,189612,42996
115,4800,4800,4800, 36 months,11.14,157.47,B,B2,University of Utah,1 year,MORTGAGE,40000,n,car,Car financing,UT,10.09,0,Oct-2008,0,11,0,832,6.7,20,f,0,0,0,0,1,194732,12500
